date,valeur
2014-06-30 20:36:09,1.9927
2014-06-30 17:54:03,0.7408
2014-06-30 15:09:04,0.3983
2014-06-30 12:27:02,0.2164
2014-06-30 09:42:04,0.2057
2014-06-30 07:00:05,0.3942
2014-06-30 04:15:04,0.6864
2014-06-30 01:33:02,0.5534
2014-06-29 22:48:07,0.2141
2014-06-29 20:06:02,0.2465
2014-06-29 17:21:04,0.2053
2014-06-29 14:39:03,0.662
2014-06-29 11:54:05,0.8258
2014-06-29 09:12:03,0.4966
2014-06-29 06:27:07,0.6017
2014-06-29 03:42:07,2.1625
2014-06-29 01:00:04,0.8795
2014-06-28 22:15:05,0.7161
2014-06-28 19:33:03,0.1982
2014-06-28 16:48:03,0.4495
2014-06-28 14:06:03,0.6707
2014-06-28 11:21:03,0.2656
2014-06-28 08:39:02,0.3577
2014-06-28 05:54:04,0.3346
2014-06-28 03:12:05,1.3477
2014-06-28 00:27:06,1.9829
2014-06-27 21:45:03,1.0966
2014-06-27 19:00:12,2.6864
2014-06-27 16:15:06,0.5175
2014-06-27 13:33:03,0.1886
2014-06-27 10:48:04,0.1988
2014-06-27 08:06:05,1.1143
2014-06-27 05:21:05,0.6901
2014-06-27 02:39:03,0.6795
2014-06-26 23:54:07,0.5028
2014-06-26 21:09:05,0.907
2014-06-26 18:27:03,0.6147
2014-06-26 15:42:04,0.979
2014-06-26 13:00:01,0.36
2014-06-26 10:15:08,1.8318
2014-06-26 07:30:02,0.1866
2014-06-26 04:48:02,0.2065
2014-06-26 02:03:10,3.1728
2014-06-25 23:21:03,0.2088
2014-06-25 20:36:04,0.5748
2014-06-25 17:51:08,2.1357
2014-06-25 15:09:04,0.6184
2014-06-25 12:24:16,3.867
2014-06-25 09:42:04,0.2356
2014-06-25 06:57:10,0.3508
2014-06-25 04:12:06,0.8992
2014-06-25 01:30:01,0.2316
2014-06-24 22:45:08,0.5497
2014-06-24 20:03:04,0.224
2014-06-24 17:18:07,0.5955
2014-06-24 14:36:03,0.3602
2014-06-24 11:51:04,0.2371
2014-06-24 09:06:07,0.5113
2014-06-24 06:24:03,0.4499
2014-06-24 03:39:07,1.9381
2014-06-24 00:57:04,2.0508
2014-06-23 22:12:04,0.6594
2014-06-23 19:27:05,0.1947
2014-06-23 16:45:07,2.5849
2014-06-23 14:00:09,2.6623
2014-06-23 11:18:03,0.3967
2014-06-23 08:33:11,5.0162
2014-06-23 05:48:09,1.8144
2014-06-23 03:06:07,2.4863
2014-06-23 00:21:09,2.0371
2014-06-22 21:39:03,0.6604
2014-06-22 18:54:04,0.7578
2014-06-22 16:09:07,0.9326
2014-06-22 13:27:05,1.5392
2014-06-22 10:42:05,0.4686
2014-06-22 08:00:04,2.1654
2014-06-22 05:15:12,5.094
2014-06-22 02:30:09,1.3925
2014-06-21 23:48:03,0.591
2014-06-21 21:03:09,1.3013
2014-06-21 18:21:03,0.7699
2014-06-21 15:36:08,2.4762
2014-06-21 12:51:10,1.1019
2014-06-21 10:09:03,0.597
2014-06-21 07:24:06,1.5755
2014-06-21 04:42:03,1.0482
